role,action_key
salesman,coll_start
salesman,coll_submit
salesman,add_vouchers
salesman,reports
supervisor,coll_start
supervisor,coll_approve_start
supervisor,coll_submit
supervisor,coll_approve_submit
supervisor,add_vouchers
supervisor,import_vouchers
supervisor,reports
distributor,coll_start
distributor,coll_approve_start
distributor,coll_submit
distributor,coll_approve_submit
distributor,coll_post
distributor,add_vouchers
distributor,import_vouchers
distributor,approve_new_vouchers
distributor,post_new_vouchers
distributor,reports
distributor,manage_users
distributor,manage_beats
